NM,FQ,FM,LQ
11822,11065,9566,10339
11784,10549,9680,10850
11479,10099,9944,11333
11011,9762,10338,11663
10507,9566,10818,11762
10066,9535,11299,11625
9746,9698,11667,11302
9578,10063,11809,10874
9588,10587,11675,10414
9793,11154,11305,9989
10187,11603,10809,9669
10707,11811,10302,9530
11228,11749,9875,9618
11613,11466,9593,9927
11775,11041,9501,10385
11702,10557,9618,10885
11434,10092,9928,11327
11030,9723,10380,11632
10557,9520,10888,11753
10092,9528,11353,11664
9723,9756,11682,11360
9538,10165,11801,10890
9588,10673,11670,10356
9860,11179,11304,9891
10282,11580,10779,9602
10756,11786,10229,9530
11199,11742,9787,9662
11544,11457,9538,9957
11733,11007,9506,10366
11718,10503,9667,10843
11477,10052,9983,11317
11045,9731,10410,11686
10519,9579,10899,11835
10037,9602,11381,11697
9707,9806,11741,11305
9582,10179,11854,10785
9652,10682,11658,10278
9886,11209,11216,9876
10249,11617,10673,9621
10701,11789,10173,9532
11173,11697,9800,9623
11564,11396,9585,9905
11770,10979,9536,10354
11729,10532,9662,10897
11449,10115,9971,11408
11005,9779,10441,11746
10508,9578,10995,11820
10056,9574,11491,11631
9720,9803,11784,11245
9556,10231,11799,10757
9596,10754,11563,10257
9841,11238,11161,9831
10247,11580,10681,9554
10734,11729,10205,9478
11203,11677,9805,9619
11565,11438,9553,9959
11750,11045,9505,10435
11720,10562,9685,10959
11467,10082,10066,11428
11025,9717,10563,11741
10485,9552,11067,11818
9978,9614,11480,11622
9633,9872,11726,11203
9513,10265,11760,10674
9611,10726,11565,10167
9882,11186,11172,9781
10267,11564,10666,9566
10717,11772,10161,9535
11178,11742,9772,9680
11577,11465,9571,9991
11812,11008,9579,10448
11780,10497,9773,10988
11457,10047,10116,11487
10934,9733,10561,11789
10377,9583,11048,11797
9927,9613,11479,11533
9646,9831,11741,11104
9545,10218,11760,10630
9613,10718,11532,10193
9844,11228,11126,9838
10232,11622,10644,9604
10735,11801,10185,9530
11265,11726,9823,9661
11682,11430,9606,10014
11852,10993,9573,10532
11729,10496,9747,11084
11367,10029,10111,11516
10879,9675,10594,11732
10373,9509,11086,11715
9931,9566,11479,11498
9620,9835,11698,11132
9492,10262,11711,10679
9576,10764,11523,10209
9868,11247,11163,9811
10320,11621,10686,9568
10847,11809,10180,9540
11336,11753,9766,9735
11685,11443,9546,10109
11819,10945,9565,10580
11702,10394,9791,11062
11355,9923,10159,11467
10854,9623,10593,11715
10319,9523,11034,11740
9872,9611,11424,11531
9596,9865,11693,11134
9525,10258,11764,10646
9654,10754,11579,10180
9949,11277,11157,9822
10372,11697,10611,9621
10869,11869,10099,9594
11357,11730,9739,9750
11718,11337,9573,10086
11836,10829,9592,10557
11672,10337,9773,11071
11284,9934,10098,11501
10789,9657,10539,11737
10305,9530,11037,11731
9912,9582,11487,11506
9654,9838,11767,11127
9561,10286,11787,10675
9655,10849,11535,10218
9950,11380,11093,9826
10413,11727,10577,9577
10948,11810,10096,9536
11419,11641,9725,9729
11708,11287,9523,10114
11765,10830,9523,10603
11604,10345,9732,11088
11272,9915,10114,11480
10831,9612,10604,11714
10349,9499,11108,11748
9911,9607,11526,11560
9615,9923,11769,11169
9532,10388,11776,10650
9688,10905,11532,10129
10036,11375,11078,9734
10488,11697,10524,9542
10954,11795,10009,9564
11360,11640,9649,9772
11645,11272,9498,10122
11753,10786,9556,10569
11642,10296,9791,11058
11309,9897,10162,11504
10819,9647,10626,11791
10294,9571,11126,11813
9868,9672,11571,11546
9627,9953,11831,11076
9590,10393,11801,10546
9735,10922,11479,10079
10028,11410,10974,9741
10435,11722,10439,9558
10907,11775,9992,9546
11358,11585,9687,9722
11682,11225,9544,10084
11785,10789,9570,10591
11635,10347,9779,11141
11269,9957,10168,11591
10787,9670,10692,11815
10297,9548,11238,11764
9886,9648,11653,11474
9620,9974,11821,11030
9543,10459,11715,10528
9676,10977,11397,10051
10001,11406,10954,9685
10453,11668,10469,9493
10946,11732,10017,9514
11380,11599,9673,9749
11674,11288,9505,10160
11770,10842,9561,10671
11639,10343,9840,11183
11292,9899,10284,11594
10786,9616,10795,11807
10241,9553,11264,11760
9795,9707,11608,11452
9548,10030,11765,10969
9530,10459,11699,10438
9711,10928,11413,9979
10037,11366,10959,9667
10457,11684,10439,9533
10922,11796,9973,9580
11372,11652,9662,9800
11715,11280,9554,10180
11840,10781,9647,10688
11669,10284,9910,11228
11235,9887,10303,11653
10676,9643,10774,11825
10156,9570,11248,11701
9780,9682,11617,11352
9580,9978,11778,10896
9552,10426,11687,10434
9692,10948,11372,10029
9996,11425,10920,9722
10446,11736,10437,9551
10981,11802,10013,9562
11480,11621,9706,9796
11797,11249,9565,10236
11831,10771,9623,10786
11587,10275,9887,11296
11154,9848,10314,11635
10649,9572,10813,11746
10165,9503,11271,11639
9774,9659,11595,11354
9539,10007,11728,10945
9503,10479,11655,10474
9683,10986,11389,10023
10057,11434,10966,9682
10558,11736,10458,9530
11081,11820,9975,9604
11516,11644,9637,9886
11773,11233,9523,10311
11795,10691,9641,10794
11570,10163,9938,11250
11143,9764,10341,11597
10613,9554,10784,11755
10106,9540,11212,11679
9728,9703,11563,11379
9542,10023,11758,10928
9563,10469,11720,10436
9770,10994,11419,10007
10128,11491,10919,9714
10591,11814,10367,9587
11095,11842,9914,9639
11541,11571,9640,9876
11801,11110,9558,10279
11792,10600,9649,10783
11518,10146,9894,11276
11071,9796,10277,11632
10572,9581,10756,11766
10122,9529,11251,11660
9784,9670,11643,11359
9594,10018,11816,10937
9579,10536,11707,10470
9765,11104,11354,10029
10143,11565,10863,9689
10651,11794,10351,9527
11171,11756,9910,9592
11568,11498,9608,9879
11756,11091,9494,10320
11716,10615,9588,10820
11476,10146,9881,11275
11092,9763,10324,11607
10623,9538,10835,11761
10147,9522,11315,11698
9758,9729,11665,11412
9549,10122,11807,10945
9576,10620,11698,10404
9826,11126,11348,9926
10229,11538,10832,9618
