 Date__(UT)__HR:MN, Date_________JDUT, Jupiter,    ObsEcLon,   ObsEcLat,
 2024-Jan-01 00:00, 2460310.500000000, Jupiter,  35.5823812, -1.1854765,
 2024-Jan-01 06:00, 2460310.750000000, Jupiter,  35.5832585, -1.1841972,
 2024-Jan-01 12:00, 2460311.000000000, Jupiter,  35.5843503, -1.1829179,
 2024-Jan-01 18:00, 2460311.250000000, Jupiter,  35.5856570, -1.1816385,
 2024-Jan-02 00:00, 2460311.500000000, Jupiter,  35.5871799, -1.1803592,
 2024-Jan-02 06:00, 2460311.750000000, Jupiter,  35.5889200, -1.1790798,
 2024-Jan-02 12:00, 2460312.000000000, Jupiter,  35.5908774, -1.1778005,
 2024-Jan-02 18:00, 2460312.250000000, Jupiter,  35.5930514, -1.1765213,
 2024-Jan-03 00:00, 2460312.500000000, Jupiter,  35.5954409, -1.1752423,
 2024-Jan-03 06:00, 2460312.750000000, Jupiter,  35.5980455, -1.1739635,
 2024-Jan-03 12:00, 2460313.000000000, Jupiter,  35.6008656, -1.1726848,
 2024-Jan-03 18:00, 2460313.250000000, Jupiter,  35.6039020, -1.1714063,
 2024-Jan-04 00:00, 2460313.500000000, Jupiter,  35.6071557, -1.1701278,
 2024-Jan-04 06:00, 2460313.750000000, Jupiter,  35.6106267, -1.1688496,
 2024-Jan-04 12:00, 2460314.000000000, Jupiter,  35.6143143, -1.1675717,
 2024-Jan-04 18:00, 2460314.250000000, Jupiter,  35.6182174, -1.1662941,
 2024-Jan-05 00:00, 2460314.500000000, Jupiter,  35.6223355, -1.1650167,
 2024-Jan-05 06:00, 2460314.750000000, Jupiter,  35.6266690, -1.1637396,
 2024-Jan-05 12:00, 2460315.000000000, Jupiter,  35.6312191, -1.1624628,
 2024-Jan-05 18:00, 2460315.250000000, Jupiter,  35.6359867, -1.1611861,
 2024-Jan-06 00:00, 2460315.500000000, Jupiter,  35.6409720, -1.1599099,
 2024-Jan-06 06:00, 2460315.750000000, Jupiter,  35.6461741, -1.1586340,
 2024-Jan-06 12:00, 2460316.000000000, Jupiter,  35.6515919, -1.1573586,
 2024-Jan-06 18:00, 2460316.250000000, Jupiter,  35.6572246, -1.1560836,
 2024-Jan-07 00:00, 2460316.500000000, Jupiter,  35.6630721, -1.1548091,
 2024-Jan-07 06:00, 2460316.750000000, Jupiter,  35.6691352, -1.1535350,
 2024-Jan-07 12:00, 2460317.000000000, Jupiter,  35.6754144, -1.1522613,
 2024-Jan-07 18:00, 2460317.250000000, Jupiter,  35.6819097, -1.1509880,
 2024-Jan-08 00:00, 2460317.500000000, Jupiter,  35.6886202, -1.1497154,
 2024-Jan-08 06:00, 2460317.750000000, Jupiter,  35.6955446, -1.1484433,
 2024-Jan-08 12:00, 2460318.000000000, Jupiter,  35.7026820, -1.1471718,
 2024-Jan-08 18:00, 2460318.250000000, Jupiter,  35.7100326, -1.1459007,
 2024-Jan-09 00:00, 2460318.500000000, Jupiter,  35.7175971, -1.1446302,
 2024-Jan-09 06:00, 2460318.750000000, Jupiter,  35.7253764, -1.1433602,
 2024-Jan-09 12:00, 2460319.000000000, Jupiter,  35.7333705, -1.1420907,
 2024-Jan-09 18:00, 2460319.250000000, Jupiter,  35.7415787, -1.1408218,
 2024-Jan-10 00:00, 2460319.500000000, Jupiter,  35.7499998, -1.1395536,
 2024-Jan-10 06:00, 2460319.750000000, Jupiter,  35.7586325, -1.1382860,
 2024-Jan-10 12:00, 2460320.000000000, Jupiter,  35.7674767, -1.1370192,
 2024-Jan-10 18:00, 2460320.250000000, Jupiter,  35.7765329, -1.1357529,
 2024-Jan-11 00:00, 2460320.500000000, Jupiter,  35.7858016, -1.1344872,
 2024-Jan-11 06:00, 2460320.750000000, Jupiter,  35.7952827, -1.1332222,
 2024-Jan-11 12:00, 2460321.000000000, Jupiter,  35.8049753, -1.1319580,
 2024-Jan-11 18:00, 2460321.250000000, Jupiter,  35.8148780, -1.1306946,
 2024-Jan-12 00:00, 2460321.500000000, Jupiter,  35.8249897, -1.1294320,
 2024-Jan-12 06:00, 2460321.750000000, Jupiter,  35.8353103, -1.1281701,
 2024-Jan-12 12:00, 2460322.000000000, Jupiter,  35.8458401, -1.1269090,
 2024-Jan-12 18:00, 2460322.250000000, Jupiter,  35.8565800, -1.1256486,
 2024-Jan-13 00:00, 2460322.500000000, Jupiter,  35.8675301, -1.1243890,
 2024-Jan-13 06:00, 2460322.750000000, Jupiter,  35.8786896, -1.1231304,
 2024-Jan-13 12:00, 2460323.000000000, Jupiter,  35.8900571, -1.1218727,
 2024-Jan-13 18:00, 2460323.250000000, Jupiter,  35.9016314, -1.1206160,
 2024-Jan-14 00:00, 2460323.500000000, Jupiter,  35.9134119, -1.1193603,
 2024-Jan-14 06:00, 2460323.750000000, Jupiter,  35.9253990, -1.1181056,
 2024-Jan-14 12:00, 2460324.000000000, Jupiter,  35.9375933, -1.1168518,
 2024-Jan-14 18:00, 2460324.250000000, Jupiter,  35.9499947, -1.1155991,
 2024-Jan-15 00:00, 2460324.500000000, Jupiter,  35.9626024, -1.1143474,
 2024-Jan-15 06:00, 2460324.750000000, Jupiter,  35.9754153, -1.1130969,
 2024-Jan-15 12:00, 2460325.000000000, Jupiter,  35.9884321, -1.1118476,
 2024-Jan-15 18:00, 2460325.250000000, Jupiter,  36.0016525, -1.1105995,
 2024-Jan-16 00:00, 2460325.500000000, Jupiter,  36.0150771, -1.1093524,
 2024-Jan-16 06:00, 2460325.750000000, Jupiter,  36.0287068, -1.1081064,
 2024-Jan-16 12:00, 2460326.000000000, Jupiter,  36.0425419, -1.1068616,
 2024-Jan-16 18:00, 2460326.250000000, Jupiter,  36.0565820, -1.1056180,
 2024-Jan-17 00:00, 2460326.500000000, Jupiter,  36.0708259, -1.1043757,
 2024-Jan-17 06:00, 2460326.750000000, Jupiter,  36.0852723, -1.1031347,
 2024-Jan-17 12:00, 2460327.000000000, Jupiter,  36.0999208, -1.1018951,
 2024-Jan-17 18:00, 2460327.250000000, Jupiter,  36.1147717, -1.1006567,
 2024-Jan-18 00:00, 2460327.500000000, Jupiter,  36.1298256, -1.0994195,
