 Date__(UT)__HR:MN, Date_________JDUT,    Mars,    ObsEcLon,   ObsEcLat,
 2024-Jan-01 00:00, 2460310.500000000,    Mars, 267.3083422, -0.5504977,
 2024-Jan-01 06:00, 2460310.750000000,    Mars, 267.4937202, -0.5529321,
 2024-Jan-01 12:00, 2460311.000000000,    Mars, 267.6791456, -0.5553654,
 2024-Jan-01 18:00, 2460311.250000000,    Mars, 267.8646184, -0.5577976,
 2024-Jan-02 00:00, 2460311.500000000,    Mars, 268.0501386, -0.5602286,
 2024-Jan-02 06:00, 2460311.750000000,    Mars, 268.2357063, -0.5626583,
 2024-Jan-02 12:00, 2460312.000000000,    Mars, 268.4213214, -0.5650869,
 2024-Jan-02 18:00, 2460312.250000000,    Mars, 268.6069841, -0.5675143,
 2024-Jan-03 00:00, 2460312.500000000,    Mars, 268.7926942, -0.5699404,
 2024-Jan-03 06:00, 2460312.750000000,    Mars, 268.9784518, -0.5723653,
 2024-Jan-03 12:00, 2460313.000000000,    Mars, 269.1642570, -0.5747888,
 2024-Jan-03 18:00, 2460313.250000000,    Mars, 269.3501097, -0.5772110,
 2024-Jan-04 00:00, 2460313.500000000,    Mars, 269.5360100, -0.5796319,
 2024-Jan-04 06:00, 2460313.750000000,    Mars, 269.7219578, -0.5820515,
 2024-Jan-04 12:00, 2460314.000000000,    Mars, 269.9079531, -0.5844697,
 2024-Jan-04 18:00, 2460314.250000000,    Mars, 270.0939959, -0.5868864,
 2024-Jan-05 00:00, 2460314.500000000,    Mars, 270.2800863, -0.5893018,
 2024-Jan-05 06:00, 2460314.750000000,    Mars, 270.4662241, -0.5917156,
 2024-Jan-05 12:00, 2460315.000000000,    Mars, 270.6524094, -0.5941281,
 2024-Jan-05 18:00, 2460315.250000000,    Mars, 270.8386421, -0.5965390,
 2024-Jan-06 00:00, 2460315.500000000,    Mars, 271.0249222, -0.5989484,
 2024-Jan-06 06:00, 2460315.750000000,    Mars, 271.2112496, -0.6013562,
 2024-Jan-06 12:00, 2460316.000000000,    Mars, 271.3976243, -0.6037625,
 2024-Jan-06 18:00, 2460316.250000000,    Mars, 271.5840460, -0.6061672,
 2024-Jan-07 00:00, 2460316.500000000,    Mars, 271.7705149, -0.6085703,
 2024-Jan-07 06:00, 2460316.750000000,    Mars, 271.9570307, -0.6109717,
 2024-Jan-07 12:00, 2460317.000000000,    Mars, 272.1435933, -0.6133715,
 2024-Jan-07 18:00, 2460317.250000000,    Mars, 272.3302026, -0.6157696,
 2024-Jan-08 00:00, 2460317.500000000,    Mars, 272.5168584, -0.6181660,
 2024-Jan-08 06:00, 2460317.750000000,    Mars, 272.7035605, -0.6205606,
 2024-Jan-08 12:00, 2460318.000000000,    Mars, 272.8903087, -0.6229535,
 2024-Jan-08 18:00, 2460318.250000000,    Mars, 273.0771027, -0.6253446,
 2024-Jan-09 00:00, 2460318.500000000,    Mars, 273.2639424, -0.6277339,
 2024-Jan-09 06:00, 2460318.750000000,    Mars, 273.4508274, -0.6301213,
 2024-Jan-09 12:00, 2460319.000000000,    Mars, 273.6377574, -0.6325069,
 2024-Jan-09 18:00, 2460319.250000000,    Mars, 273.8247322, -0.6348907,
 2024-Jan-10 00:00, 2460319.500000000,    Mars, 274.0117513, -0.6372725,
 2024-Jan-10 06:00, 2460319.750000000,    Mars, 274.1988144, -0.6396524,
 2024-Jan-10 12:00, 2460320.000000000,    Mars, 274.3859212, -0.6420304,
 2024-Jan-10 18:00, 2460320.250000000,    Mars, 274.5730712, -0.6444064,
 2024-Jan-11 00:00, 2460320.500000000,    Mars, 274.7602641, -0.6467804,
 2024-Jan-11 06:00, 2460320.750000000,    Mars, 274.9474995, -0.6491525,
 2024-Jan-11 12:00, 2460321.000000000,    Mars, 275.1347770, -0.6515225,
 2024-Jan-11 18:00, 2460321.250000000,    Mars, 275.3220961, -0.6538905,
 2024-Jan-12 00:00, 2460321.500000000,    Mars, 275.5094565, -0.6562565,
 2024-Jan-12 06:00, 2460321.750000000,    Mars, 275.6968579, -0.6586204,
 2024-Jan-12 12:00, 2460322.000000000,    Mars, 275.8842999, -0.6609822,
 2024-Jan-12 18:00, 2460322.250000000,    Mars, 276.0717821, -0.6633420,
 2024-Jan-13 00:00, 2460322.500000000,    Mars, 276.2593044, -0.6656996,
 2024-Jan-13 06:00, 2460322.750000000,    Mars, 276.4468664, -0.6680551,
 2024-Jan-13 12:00, 2460323.000000000,    Mars, 276.6344678, -0.6704086,
 2024-Jan-13 18:00, 2460323.250000000,    Mars, 276.8221085, -0.6727599,
 2024-Jan-14 00:00, 2460323.500000000,    Mars, 277.0097884, -0.6751090,
 2024-Jan-14 06:00, 2460323.750000000,    Mars, 277.1975073, -0.6774560,
 2024-Jan-14 12:00, 2460324.000000000,    Mars, 277.3852650, -0.6798009,
 2024-Jan-14 18:00, 2460324.250000000,    Mars, 277.5730616, -0.6821436,
 2024-Jan-15 00:00, 2460324.500000000,    Mars, 277.7608969, -0.6844842,
 2024-Jan-15 06:00, 2460324.750000000,    Mars, 277.9487709, -0.6868226,
 2024-Jan-15 12:00, 2460325.000000000,    Mars, 278.1366838, -0.6891589,
 2024-Jan-15 18:00, 2460325.250000000,    Mars, 278.3246353, -0.6914929,
 2024-Jan-16 00:00, 2460325.500000000,    Mars, 278.5126257, -0.6938248,
 2024-Jan-16 06:00, 2460325.750000000,    Mars, 278.7006549, -0.6961545,
 2024-Jan-16 12:00, 2460326.000000000,    Mars, 278.8887230, -0.6984821,
 2024-Jan-16 18:00, 2460326.250000000,    Mars, 279.0768300, -0.7008074,
 2024-Jan-17 00:00, 2460326.500000000,    Mars, 279.2649760, -0.7031306,
 2024-Jan-17 06:00, 2460326.750000000,    Mars, 279.4531610, -0.7054516,
 2024-Jan-17 12:00, 2460327.000000000,    Mars, 279.6413852, -0.7077704,
 2024-Jan-17 18:00, 2460327.250000000,    Mars, 279.8296484, -0.7100870,
 2024-Jan-18 00:00, 2460327.500000000,    Mars, 280.0179508, -0.7124014,
