 Date__(UT)__HR:MN, Date_________JDUT, Mercury,    ObsEcLon,   ObsEcLat,      Illu%,
 2024-Jan-01 00:00, 2460310.500000000, Mercury, 262.2816922,  3.0649825,   26.98483,
 2024-Jan-01 06:00, 2460310.750000000, Mercury, 262.2417672,  3.0506617,   27.99743,
 2024-Jan-01 12:00, 2460311.000000000, Mercury, 262.2120128,  3.0349378,   29.00576,
 2024-Jan-01 18:00, 2460311.250000000, Mercury, 262.1922726,  3.0178689,   30.00893,
 2024-Jan-02 00:00, 2460311.500000000, Mercury, 262.1823831,  2.9995118,   31.00616,
 2024-Jan-02 06:00, 2460311.750000000, Mercury, 262.1821743,  2.9799219,   31.99669,
 2024-Jan-02 12:00, 2460312.000000000, Mercury, 262.1914707,  2.9591535,   32.97985,
 2024-Jan-02 18:00, 2460312.250000000, Mercury, 262.2100927,  2.9372594,   33.95501,
 2024-Jan-03 00:00, 2460312.500000000, Mercury, 262.2378571,  2.9142911,   34.92162,
 2024-Jan-03 06:00, 2460312.750000000, Mercury, 262.2745778,  2.8902985,   35.87915,
 2024-Jan-03 12:00, 2460313.000000000, Mercury, 262.3200667,  2.8653301,   36.82716,
 2024-Jan-03 18:00, 2460313.250000000, Mercury, 262.3741343,  2.8394330,   37.76523,
 2024-Jan-04 00:00, 2460313.500000000, Mercury, 262.4365903,  2.8126526,   38.69298,
 2024-Jan-04 06:00, 2460313.750000000, Mercury, 262.5072443,  2.7850329,   39.61011,
 2024-Jan-04 12:00, 2460314.000000000, Mercury, 262.5859061,  2.7566165,   40.51632,
 2024-Jan-04 18:00, 2460314.250000000, Mercury, 262.6723861,  2.7274445,   41.41138,
 2024-Jan-05 00:00, 2460314.500000000, Mercury, 262.7664961,  2.6975564,   42.29507,
 2024-Jan-05 06:00, 2460314.750000000, Mercury, 262.8680493,  2.6669905,   43.16722,
 2024-Jan-05 12:00, 2460315.000000000, Mercury, 262.9768608,  2.6357835,   44.02768,
 2024-Jan-05 18:00, 2460315.250000000, Mercury, 263.0927477,  2.6039707,   44.87633,
 2024-Jan-06 00:00, 2460315.500000000, Mercury, 263.2155297,  2.5715864,   45.71310,
 2024-Jan-06 06:00, 2460315.750000000, Mercury, 263.3450290,  2.5386632,   46.53791,
 2024-Jan-06 12:00, 2460316.000000000, Mercury, 263.4810705,  2.5052326,   47.35072,
 2024-Jan-06 18:00, 2460316.250000000, Mercury, 263.6234823,  2.4713249,   48.15152,
 2024-Jan-07 00:00, 2460316.500000000, Mercury, 263.7720956,  2.4369690,   48.94030,
 2024-Jan-07 06:00, 2460316.750000000, Mercury, 263.9267446,  2.4021929,   49.71708,
 2024-Jan-07 12:00, 2460317.000000000, Mercury, 264.0872670,  2.3670233,   50.48191,
 2024-Jan-07 18:00, 2460317.250000000, Mercury, 264.2535039,  2.3314858,   51.23481,
 2024-Jan-08 00:00, 2460317.500000000, Mercury, 264.4253000,  2.2956052,   51.97587,
 2024-Jan-08 06:00, 2460317.750000000, Mercury, 264.6025031,  2.2594049,   52.70516,
 2024-Jan-08 12:00, 2460318.000000000, Mercury, 264.7849650,  2.2229076,   53.42276,
 2024-Jan-08 18:00, 2460318.250000000, Mercury, 264.9725408,  2.1861350,   54.12877,
 2024-Jan-09 00:00, 2460318.500000000, Mercury, 265.1650892,  2.1491078,   54.82330,
 2024-Jan-09 06:00, 2460318.750000000, Mercury, 265.3624724,  2.1118460,   55.50647,
 2024-Jan-09 12:00, 2460319.000000000, Mercury, 265.5645562,  2.0743686,   56.17839,
 2024-Jan-09 18:00, 2460319.250000000, Mercury, 265.7712100,  2.0366940,   56.83920,
 2024-Jan-10 00:00, 2460319.500000000, Mercury, 265.9823065,  1.9988396,   57.48903,
 2024-Jan-10 06:00, 2460319.750000000, Mercury, 266.1977220,  1.9608221,   58.12803,
 2024-Jan-10 12:00, 2460320.000000000, Mercury, 266.4173362,  1.9226578,   58.75633,
 2024-Jan-10 18:00, 2460320.250000000, Mercury, 266.6410320,  1.8843618,   59.37409,
 2024-Jan-11 00:00, 2460320.500000000, Mercury, 266.8686958,  1.8459490,   59.98145,
 2024-Jan-11 06:00, 2460320.750000000, Mercury, 267.1002172,  1.8074336,   60.57857,
 2024-Jan-11 12:00, 2460321.000000000, Mercury, 267.3354891,  1.7688289,   61.16561,
 2024-Jan-11 18:00, 2460321.250000000, Mercury, 267.5744075,  1.7301480,   61.74273,
 2024-Jan-12 00:00, 2460321.500000000, Mercury, 267.8168714,  1.6914033,   62.31008,
 2024-Jan-12 06:00, 2460321.750000000, Mercury, 268.0627829,  1.6526066,   62.86782,
 2024-Jan-12 12:00, 2460322.000000000, Mercury, 268.3120473,  1.6137694,   63.41612,
 2024-Jan-12 18:00, 2460322.250000000, Mercury, 268.5645726,  1.5749026,   63.95514,
 2024-Jan-13 00:00, 2460322.500000000, Mercury, 268.8202696,  1.5360166,   64.48504,
 2024-Jan-13 06:00, 2460322.750000000, Mercury, 269.0790520,  1.4971215,   65.00597,
 2024-Jan-13 12:00, 2460323.000000000, Mercury, 269.3408364,  1.4582270,   65.51811,
 2024-Jan-13 18:00, 2460323.250000000, Mercury, 269.6055416,  1.4193421,   66.02160,
 2024-Jan-14 00:00, 2460323.500000000, Mercury, 269.8730895,  1.3804759,   66.51661,
 2024-Jan-14 06:00, 2460323.750000000, Mercury, 270.1434043,  1.3416367,   67.00330,
 2024-Jan-14 12:00, 2460324.000000000, Mercury, 270.4164125,  1.3028327,   67.48182,
 2024-Jan-14 18:00, 2460324.250000000, Mercury, 270.6920432,  1.2640718,   67.95233,
 2024-Jan-15 00:00, 2460324.500000000, Mercury, 270.9702279,  1.2253615,   68.41497,
 2024-Jan-15 06:00, 2460324.750000000, Mercury, 271.2509001,  1.1867089,   68.86991,
 2024-Jan-15 12:00, 2460325.000000000, Mercury, 271.5339956,  1.1481210,   69.31729,
 2024-Jan-15 18:00, 2460325.250000000, Mercury, 271.8194524,  1.1096045,   69.75726,
 2024-Jan-16 00:00, 2460325.500000000, Mercury, 272.1072105,  1.0711658,   70.18997,
 2024-Jan-16 06:00, 2460325.750000000, Mercury, 272.3972119,  1.0328111,   70.61556,
 2024-Jan-16 12:00, 2460326.000000000, Mercury, 272.6894004,  0.9945462,   71.03417,
 2024-Jan-16 18:00, 2460326.250000000, Mercury, 272.9837220,  0.9563769,   71.44594,
 2024-Jan-17 00:00, 2460326.500000000, Mercury, 273.2801241,  0.9183087,   71.85102,
 2024-Jan-17 06:00, 2460326.750000000, Mercury, 273.5785562,  0.8803469,   72.24953,
 2024-Jan-17 12:00, 2460327.000000000, Mercury, 273.8789693,  0.8424965,   72.64161,
 2024-Jan-17 18:00, 2460327.250000000, Mercury, 274.1813162,  0.8047626,   73.02740,
 2024-Jan-18 00:00, 2460327.500000000, Mercury, 274.4855511,  0.7671498,   73.40701,
 2024-Jan-18 06:00, 2460327.750000000, Mercury, 274.7916299,  0.7296627,   73.78059,
 2024-Jan-18 12:00, 2460328.000000000, Mercury, 275.0995099,  0.6923058,   74.14825,
 2024-Jan-18 18:00, 2460328.250000000, Mercury, 275.4091500,  0.6550833,   74.51011,
 2024-Jan-19 00:00, 2460328.500000000, Mercury, 275.7205104,  0.6179994,   74.86630,
 2024-Jan-19 06:00, 2460328.750000000, Mercury, 276.0335525,  0.5810580,   75.21694,
 2024-Jan-19 12:00, 2460329.000000000, Mercury, 276.3482393,  0.5442631,   75.56214,
 2024-Jan-19 18:00, 2460329.250000000, Mercury, 276.6645349,  0.5076184,   75.90201,
 2024-Jan-20 00:00, 2460329.500000000, Mercury, 276.9824048,  0.4711274,   76.23667,
 2024-Jan-20 06:00, 2460329.750000000, Mercury, 277.3018154,  0.4347938,   76.56623,
 2024-Jan-20 12:00, 2460330.000000000, Mercury, 277.6227345,  0.3986209,   76.89079,
 2024-Jan-20 18:00, 2460330.250000000, Mercury, 277.9451310,  0.3626121,   77.21046,
 2024-Jan-21 00:00, 2460330.500000000, Mercury, 278.2689749,  0.3267705,   77.52535,
 2024-Jan-21 06:00, 2460330.750000000, Mercury, 278.5942371,  0.2910994,   77.83555,
 2024-Jan-21 12:00, 2460331.000000000, Mercury, 278.9208898,  0.2556016,   78.14116,
 2024-Jan-21 18:00, 2460331.250000000, Mercury, 279.2489058,  0.2202803,   78.44228,
 2024-Jan-22 00:00, 2460331.500000000, Mercury, 279.5782593,  0.1851382,   78.73901,
 2024-Jan-22 06:00, 2460331.750000000, Mercury, 279.9089251,  0.1501783,   79.03144,
 2024-Jan-22 12:00, 2460332.000000000, Mercury, 280.2408791,  0.1154031,   79.31966,
 2024-Jan-22 18:00, 2460332.250000000, Mercury, 280.5740980,  0.0808155,   79.60376,
 2024-Jan-23 00:00, 2460332.500000000, Mercury, 280.9085594,  0.0464179,   79.88383,
 2024-Jan-23 06:00, 2460332.750000000, Mercury, 281.2442416,  0.0122130,   80.15996,
 2024-Jan-23 12:00, 2460333.000000000, Mercury, 281.5811238, -0.0217967,   80.43222,
 2024-Jan-23 18:00, 2460333.250000000, Mercury, 281.9191860, -0.0556088,   80.70070,
 2024-Jan-24 00:00, 2460333.500000000, Mercury, 282.2584090, -0.0892209,   80.96549,
 2024-Jan-24 06:00, 2460333.750000000, Mercury, 282.5987742, -0.1226307,   81.22666,
 2024-Jan-24 12:00, 2460334.000000000, Mercury, 282.9402637, -0.1558359,   81.48428,
 2024-Jan-24 18:00, 2460334.250000000, Mercury, 283.2828604, -0.1888341,   81.73844,
 2024-Jan-25 00:00, 2460334.500000000, Mercury, 283.6265478, -0.2216232,   81.98921,
 2024-Jan-25 06:00, 2460334.750000000, Mercury, 283.9713102, -0.2542011,   82.23666,
 2024-Jan-25 12:00, 2460335.000000000, Mercury, 284.3171322, -0.2865654,   82.48086,
 2024-Jan-25 18:00, 2460335.250000000, Mercury, 284.6639994, -0.3187142,   82.72188,
 2024-Jan-26 00:00, 2460335.500000000, Mercury, 285.0118977, -0.3506453,   82.95979,
 2024-Jan-26 06:00, 2460335.750000000, Mercury, 285.3608137, -0.3823568,   83.19466,
 2024-Jan-26 12:00, 2460336.000000000, Mercury, 285.7107346, -0.4138464,   83.42655,
 2024-Jan-26 18:00, 2460336.250000000, Mercury, 286.0616479, -0.4451124,   83.65552,
 2024-Jan-27 00:00, 2460336.500000000, Mercury, 286.4135420, -0.4761526,   83.88164,
 2024-Jan-27 06:00, 2460336.750000000, Mercury, 286.7664056, -0.5069651,   84.10497,
 2024-Jan-27 12:00, 2460337.000000000, Mercury, 287.1202277, -0.5375479,   84.32557,
 2024-Jan-27 18:00, 2460337.250000000, Mercury, 287.4749982, -0.5678993,   84.54349,
 2024-Jan-28 00:00, 2460337.500000000, Mercury, 287.8307072, -0.5980171,   84.75880,
 2024-Jan-28 06:00, 2460337.750000000, Mercury, 288.1873452, -0.6278996,   84.97154,
 2024-Jan-28 12:00, 2460338.000000000, Mercury, 288.5449034, -0.6575449,   85.18178,
 2024-Jan-28 18:00, 2460338.250000000, Mercury, 288.9033731, -0.6869511,   85.38957,
 2024-Jan-29 00:00, 2460338.500000000, Mercury, 289.2627462, -0.7161163,   85.59496,
 2024-Jan-29 06:00, 2460338.750000000, Mercury, 289.6230151, -0.7450388,   85.79800,
 2024-Jan-29 12:00, 2460339.000000000, Mercury, 289.9841723, -0.7737166,   85.99874,
 2024-Jan-29 18:00, 2460339.250000000, Mercury, 290.3462109, -0.8021480,   86.19724,
 2024-Jan-30 00:00, 2460339.500000000, Mercury, 290.7091243, -0.8303310,   86.39353,
 2024-Jan-30 06:00, 2460339.750000000, Mercury, 291.0729062, -0.8582640,   86.58766,
 2024-Jan-30 12:00, 2460340.000000000, Mercury, 291.4375507, -0.8859451,   86.77969,
 2024-Jan-30 18:00, 2460340.250000000, Mercury, 291.8030523, -0.9133725,   86.96965,
 2024-Jan-31 00:00, 2460340.500000000, Mercury, 292.1694057, -0.9405444,   87.15760,
 2024-Jan-31 06:00, 2460340.750000000, Mercury, 292.5366060, -0.9674590,   87.34356,
 2024-Jan-31 12:00, 2460341.000000000, Mercury, 292.9046484, -0.9941144,   87.52759,
 2024-Jan-31 18:00, 2460341.250000000, Mercury, 293.2735288, -1.0205089,   87.70972,
 2024-Feb-01 00:00, 2460341.500000000, Mercury, 293.6432430, -1.0466407,   87.89000,
 2024-Feb-01 06:00, 2460341.750000000, Mercury, 294.0137872, -1.0725079,   88.06846,
 2024-Feb-01 12:00, 2460342.000000000, Mercury, 294.3851580, -1.0981088,   88.24515,
 2024-Feb-01 18:00, 2460342.250000000, Mercury, 294.7573521, -1.1234415,   88.42009,
 2024-Feb-02 00:00, 2460342.500000000, Mercury, 295.1303664, -1.1485042,   88.59333,
 2024-Feb-02 06:00, 2460342.750000000, Mercury, 295.5041984, -1.1732951,   88.76490,
 2024-Feb-02 12:00, 2460343.000000000, Mercury, 295.8788454, -1.1978124,   88.93483,
 2024-Feb-02 18:00, 2460343.250000000, Mercury, 296.2543051, -1.2220542,   89.10316,
 2024-Feb-03 00:00, 2460343.500000000, Mercury, 296.6305756, -1.2460186,   89.26993,
 2024-Feb-03 06:00, 2460343.750000000, Mercury, 297.0076549, -1.2697039,   89.43516,
 2024-Feb-03 12:00, 2460344.000000000, Mercury, 297.3855415, -1.2931081,   89.59888,
 2024-Feb-03 18:00, 2460344.250000000, Mercury, 297.7642339, -1.3162295,   89.76113,
 2024-Feb-04 00:00, 2460344.500000000, Mercury, 298.1437308, -1.3390660,   89.92193,
 2024-Feb-04 06:00, 2460344.750000000, Mercury, 298.5240313, -1.3616159,   90.08132,
 2024-Feb-04 12:00, 2460345.000000000, Mercury, 298.9051344, -1.3838771,   90.23932,
 2024-Feb-04 18:00, 2460345.250000000, Mercury, 299.2870394, -1.4058479,   90.39596,
 2024-Feb-05 00:00, 2460345.500000000, Mercury, 299.6697459, -1.4275263,   90.55126,
 2024-Feb-05 06:00, 2460345.750000000, Mercury, 300.0532533, -1.4489103,   90.70525,
 2024-Feb-05 12:00, 2460346.000000000, Mercury, 300.4375617, -1.4699980,   90.85797,
 2024-Feb-05 18:00, 2460346.250000000, Mercury, 300.8226707, -1.4907874,   91.00942,
 2024-Feb-06 00:00, 2460346.500000000, Mercury, 301.2085807, -1.5112766,   91.15963,
 2024-Feb-06 06:00, 2460346.750000000, Mercury, 301.5952917, -1.5314635,   91.30864,
 2024-Feb-06 12:00, 2460347.000000000, Mercury, 301.9828041, -1.5513461,   91.45645,
 2024-Feb-06 18:00, 2460347.250000000, Mercury, 302.3711185, -1.5709225,   91.60309,
 2024-Feb-07 00:00, 2460347.500000000, Mercury, 302.7602354, -1.5901906,   91.74858,
 2024-Feb-07 06:00, 2460347.750000000, Mercury, 303.1501557, -1.6091484,   91.89295,
 2024-Feb-07 12:00, 2460348.000000000, Mercury, 303.5408801, -1.6277937,   92.03620,
