 Date__(UT)__HR:MN, Date_________JDUT,    Moon,    ObsEcLon,   ObsEcLat,      Illu%,
 2024-Jan-01 00:00, 2460310.500000000,    Moon, 155.9921866,  3.5675449,   78.03585,
 2024-Jan-01 06:00, 2460310.750000000,    Moon, 158.9517753,  3.3795052,   76.06443,
 2024-Jan-01 12:00, 2460311.000000000,    Moon, 161.9070323,  3.1825400,   74.03730,
 2024-Jan-01 18:00, 2460311.250000000,    Moon, 164.8591103,  2.9771359,   71.95825,
 2024-Jan-02 00:00, 2460311.500000000,    Moon, 167.8092128,  2.7637836,   69.83104,
 2024-Jan-02 06:00, 2460311.750000000,    Moon, 170.7585905,  2.5429784,   67.65940,
 2024-Jan-02 12:00, 2460312.000000000,    Moon, 173.7085374,  2.3152207,   65.44709,
 2024-Jan-02 18:00, 2460312.250000000,    Moon, 176.6603870,  2.0810165,   63.19785,
 2024-Jan-03 00:00, 2460312.500000000,    Moon, 179.6155076,  1.8408785,   60.91546,
 2024-Jan-03 06:00, 2460312.750000000,    Moon, 182.5752978,  1.5953280,   58.60374,
 2024-Jan-03 12:00, 2460313.000000000,    Moon, 185.5411820,  1.3448955,   56.26656,
 2024-Jan-03 18:00, 2460313.250000000,    Moon, 188.5146051,  1.0901232,   53.90789,
 2024-Jan-04 00:00, 2460313.500000000,    Moon, 191.4970270,  0.8315664,   51.53177,
 2024-Jan-04 06:00, 2460313.750000000,    Moon, 194.4899167,  0.5697958,   49.14237,
 2024-Jan-04 12:00, 2460314.000000000,    Moon, 197.4947465,  0.3053998,   46.74400,
 2024-Jan-04 18:00, 2460314.250000000,    Moon, 200.5129848,  0.0389860,   44.34113,
 2024-Jan-05 00:00, 2460314.500000000,    Moon, 203.5460892, -0.2288157,   41.93842,
 2024-Jan-05 06:00, 2460314.750000000,    Moon, 206.5954986, -0.4973515,   39.54070,
 2024-Jan-05 12:00, 2460315.000000000,    Moon, 209.6626253, -0.7659414,   37.15307,
 2024-Jan-05 18:00, 2460315.250000000,    Moon, 212.7488459, -1.0338775,   34.78082,
 2024-Jan-06 00:00, 2460315.500000000,    Moon, 215.8554919, -1.3004217,   32.42954,
 2024-Jan-06 06:00, 2460315.750000000,    Moon, 218.9838396, -1.5648051,   30.10507,
 2024-Jan-06 12:00, 2460316.000000000,    Moon, 222.1350996, -1.8262264,   27.81353,
 2024-Jan-06 18:00, 2460316.250000000,    Moon, 225.3104056, -2.0838516,   25.56132,
 2024-Jan-07 00:00, 2460316.500000000,    Moon, 228.5108027, -2.3368140,   23.35516,
 2024-Jan-07 06:00, 2460316.750000000,    Moon, 231.7372354, -2.5842151,   21.20200,
 2024-Jan-07 12:00, 2460317.000000000,    Moon, 234.9905351, -2.8251261,   19.10912,
 2024-Jan-07 18:00, 2460317.250000000,    Moon, 238.2714079, -3.0585899,   17.08400,
 2024-Jan-08 00:00, 2460317.500000000,    Moon, 241.5804217, -3.2836250,   15.13440,
 2024-Jan-08 06:00, 2460317.750000000,    Moon, 244.9179945, -3.4992298,   13.26825,
 2024-Jan-08 12:00, 2460318.000000000,    Moon, 248.2843824, -3.7043878,   11.49362,
 2024-Jan-08 18:00, 2460318.250000000,    Moon, 251.6796689, -3.8980744,    9.81870,
 2024-Jan-09 00:00, 2460318.500000000,    Moon, 255.1037552, -4.0792651,    8.25171,
 2024-Jan-09 06:00, 2460318.750000000,    Moon, 258.5563522, -4.2469436,    6.80083,
 2024-Jan-09 12:00, 2460319.000000000,    Moon, 262.0369735, -4.4001126,    5.47416,
 2024-Jan-09 18:00, 2460319.250000000,    Moon, 265.5449318, -4.5378039,    4.27956,
 2024-Jan-10 00:00, 2460319.500000000,    Moon, 269.0793368, -4.6590908,    3.22463,
 2024-Jan-10 06:00, 2460319.750000000,    Moon, 272.6390964, -4.7630998,    2.31655,
 2024-Jan-10 12:00, 2460320.000000000,    Moon, 276.2229207, -4.8490232,    1.56205,
 2024-Jan-10 18:00, 2460320.250000000,    Moon, 279.8293294, -4.9161319,    0.96723,
 2024-Jan-11 00:00, 2460320.500000000,    Moon, 283.4566624, -4.9637875,    0.53752,
 2024-Jan-11 06:00, 2460320.750000000,    Moon, 287.1030934, -4.9914537,    0.27756,
 2024-Jan-11 12:00, 2460321.000000000,    Moon, 290.7666476, -4.9987072,    0.19111,
 2024-Jan-11 18:00, 2460321.250000000,    Moon, 294.4452210, -4.9852466,    0.28100,
 2024-Jan-12 00:00, 2460321.500000000,    Moon, 298.1366033, -4.9509003,    0.54901,
 2024-Jan-12 06:00, 2460321.750000000,    Moon, 301.8385028, -4.8956320,    0.99589,
 2024-Jan-12 12:00, 2460322.000000000,    Moon, 305.5485723, -4.8195442,    1.62127,
 2024-Jan-12 18:00, 2460322.250000000,    Moon, 309.2644367, -4.7228795,    2.42367,
 2024-Jan-13 00:00, 2460322.500000000,    Moon, 312.9837204, -4.6060192,    3.40049,
 2024-Jan-13 06:00, 2460322.750000000,    Moon, 316.7040749, -4.4694805,    4.54806,
 2024-Jan-13 12:00, 2460323.000000000,    Moon, 320.4232047, -4.3139102,    5.86163,
 2024-Jan-13 18:00, 2460323.250000000,    Moon, 324.1388924, -4.1400777,    7.33548,
 2024-Jan-14 00:00, 2460323.500000000,    Moon, 327.8490209, -3.9488648,    8.96294,
 2024-Jan-14 06:00, 2460323.750000000,    Moon, 331.5515937, -3.7412555,   10.73651,
 2024-Jan-14 12:00, 2460324.000000000,    Moon, 335.2447515, -3.5183235,   12.64793,
 2024-Jan-14 18:00, 2460324.250000000,    Moon, 338.9267862, -3.2812197,   14.68830,
