 Date__(UT)__HR:MN, Date_________JDUT, Neptune,    ObsEcLon,   ObsEcLat,
 2024-Jan-01 00:00, 2460310.500000000, Neptune, 355.0761514, -1.2372474,
 2024-Jan-01 06:00, 2460310.750000000, Neptune, 355.0798064, -1.2371081,
 2024-Jan-01 12:00, 2460311.000000000, Neptune, 355.0834949, -1.2369691,
 2024-Jan-01 18:00, 2460311.250000000, Neptune, 355.0872169, -1.2368303,
 2024-Jan-02 00:00, 2460311.500000000, Neptune, 355.0909724, -1.2366918,
 2024-Jan-02 06:00, 2460311.750000000, Neptune, 355.0947615, -1.2365535,
 2024-Jan-02 12:00, 2460312.000000000, Neptune, 355.0985842, -1.2364155,
 2024-Jan-02 18:00, 2460312.250000000, Neptune, 355.1024405, -1.2362777,
 2024-Jan-03 00:00, 2460312.500000000, Neptune, 355.1063303, -1.2361402,
 2024-Jan-03 06:00, 2460312.750000000, Neptune, 355.1102539, -1.2360029,
 2024-Jan-03 12:00, 2460313.000000000, Neptune, 355.1142111, -1.2358659,
 2024-Jan-03 18:00, 2460313.250000000, Neptune, 355.1182020, -1.2357292,
 2024-Jan-04 00:00, 2460313.500000000, Neptune, 355.1222266, -1.2355927,
 2024-Jan-04 06:00, 2460313.750000000, Neptune, 355.1262850, -1.2354565,
 2024-Jan-04 12:00, 2460314.000000000, Neptune, 355.1303771, -1.2353205,
 2024-Jan-04 18:00, 2460314.250000000, Neptune, 355.1345031, -1.2351848,
 2024-Jan-05 00:00, 2460314.500000000, Neptune, 355.1386629, -1.2350494,
 2024-Jan-05 06:00, 2460314.750000000, Neptune, 355.1428565, -1.2349143,
 2024-Jan-05 12:00, 2460315.000000000, Neptune, 355.1470840, -1.2347794,
 2024-Jan-05 18:00, 2460315.250000000, Neptune, 355.1513454, -1.2346448,
 2024-Jan-06 00:00, 2460315.500000000, Neptune, 355.1556407, -1.2345105,
 2024-Jan-06 06:00, 2460315.750000000, Neptune, 355.1599698, -1.2343765,
 2024-Jan-06 12:00, 2460316.000000000, Neptune, 355.1643329, -1.2342428,
 2024-Jan-06 18:00, 2460316.250000000, Neptune, 355.1687298, -1.2341093,
 2024-Jan-07 00:00, 2460316.500000000, Neptune, 355.1731606, -1.2339762,
 2024-Jan-07 06:00, 2460316.750000000, Neptune, 355.1776252, -1.2338433,
 2024-Jan-07 12:00, 2460317.000000000, Neptune, 355.1821236, -1.2337107,
 2024-Jan-07 18:00, 2460317.250000000, Neptune, 355.1866557, -1.2335784,
 2024-Jan-08 00:00, 2460317.500000000, Neptune, 355.1912215, -1.2334465,
 2024-Jan-08 06:00, 2460317.750000000, Neptune, 355.1958209, -1.2333148,
 2024-Jan-08 12:00, 2460318.000000000, Neptune, 355.2004537, -1.2331834,
 2024-Jan-08 18:00, 2460318.250000000, Neptune, 355.2051199, -1.2330523,
 2024-Jan-09 00:00, 2460318.500000000, Neptune, 355.2098193, -1.2329216,
 2024-Jan-09 06:00, 2460318.750000000, Neptune, 355.2145517, -1.2327911,
 2024-Jan-09 12:00, 2460319.000000000, Neptune, 355.2193171, -1.2326610,
 2024-Jan-09 18:00, 2460319.250000000, Neptune, 355.2241152, -1.2325311,
 2024-Jan-10 00:00, 2460319.500000000, Neptune, 355.2289458, -1.2324016,
 2024-Jan-10 06:00, 2460319.750000000, Neptune, 355.2338087, -1.2322724,
 2024-Jan-10 12:00, 2460320.000000000, Neptune, 355.2387036, -1.2321435,
