 Date__(UT)__HR:MN, Date_________JDUT,  Saturn,    ObsEcLon,   ObsEcLat,
 2024-Jan-01 00:00, 2460310.500000000,  Saturn, 333.2435330, -1.6341214,
 2024-Jan-01 06:00, 2460310.750000000,  Saturn, 333.2656850, -1.6338206,
 2024-Jan-01 12:00, 2460311.000000000,  Saturn, 333.2879074, -1.6335215,
 2024-Jan-01 18:00, 2460311.250000000,  Saturn, 333.3101999, -1.6332243,
 2024-Jan-02 00:00, 2460311.500000000,  Saturn, 333.3325623, -1.6329289,
 2024-Jan-02 06:00, 2460311.750000000,  Saturn, 333.3549944, -1.6326354,
 2024-Jan-02 12:00, 2460312.000000000,  Saturn, 333.3774960, -1.6323437,
 2024-Jan-02 18:00, 2460312.250000000,  Saturn, 333.4000670, -1.6320538,
 2024-Jan-03 00:00, 2460312.500000000,  Saturn, 333.4227071, -1.6317659,
 2024-Jan-03 06:00, 2460312.750000000,  Saturn, 333.4454162, -1.6314798,
 2024-Jan-03 12:00, 2460313.000000000,  Saturn, 333.4681941, -1.6311956,
 2024-Jan-03 18:00, 2460313.250000000,  Saturn, 333.4910406, -1.6309132,
 2024-Jan-04 00:00, 2460313.500000000,  Saturn, 333.5139554, -1.6306327,
 2024-Jan-04 06:00, 2460313.750000000,  Saturn, 333.5369384, -1.6303541,
 2024-Jan-04 12:00, 2460314.000000000,  Saturn, 333.5599893, -1.6300774,
 2024-Jan-04 18:00, 2460314.250000000,  Saturn, 333.5831080, -1.6298025,
 2024-Jan-05 00:00, 2460314.500000000,  Saturn, 333.6062944, -1.6295295,
 2024-Jan-05 06:00, 2460314.750000000,  Saturn, 333.6295481, -1.6292583,
 2024-Jan-05 12:00, 2460315.000000000,  Saturn, 333.6528690, -1.6289891,
 2024-Jan-05 18:00, 2460315.250000000,  Saturn, 333.6762568, -1.6287217,
 2024-Jan-06 00:00, 2460315.500000000,  Saturn, 333.6997115, -1.6284561,
 2024-Jan-06 06:00, 2460315.750000000,  Saturn, 333.7232326, -1.6281925,
 2024-Jan-06 12:00, 2460316.000000000,  Saturn, 333.7468201, -1.6279307,
 2024-Jan-06 18:00, 2460316.250000000,  Saturn, 333.7704736, -1.6276708,
 2024-Jan-07 00:00, 2460316.500000000,  Saturn, 333.7941930, -1.6274127,
 2024-Jan-07 06:00, 2460316.750000000,  Saturn, 333.8179779, -1.6271565,
 2024-Jan-07 12:00, 2460317.000000000,  Saturn, 333.8418282, -1.6269022,
 2024-Jan-07 18:00, 2460317.250000000,  Saturn, 333.8657434, -1.6266498,
 2024-Jan-08 00:00, 2460317.500000000,  Saturn, 333.8897234, -1.6263992,
 2024-Jan-08 06:00, 2460317.750000000,  Saturn, 333.9137677, -1.6261504,
 2024-Jan-08 12:00, 2460318.000000000,  Saturn, 333.9378761, -1.6259036,
 2024-Jan-08 18:00, 2460318.250000000,  Saturn, 333.9620482, -1.6256586,
 2024-Jan-09 00:00, 2460318.500000000,  Saturn, 333.9862837, -1.6254155,
 2024-Jan-09 06:00, 2460318.750000000,  Saturn, 334.0105821, -1.6251742,
 2024-Jan-09 12:00, 2460319.000000000,  Saturn, 334.0349431, -1.6249348,
 2024-Jan-09 18:00, 2460319.250000000,  Saturn, 334.0593662, -1.6246972,
 2024-Jan-10 00:00, 2460319.500000000,  Saturn, 334.0838510, -1.6244615,
 2024-Jan-10 06:00, 2460319.750000000,  Saturn, 334.1083970, -1.6242276,
 2024-Jan-10 12:00, 2460320.000000000,  Saturn, 334.1330038, -1.6239956,
 2024-Jan-10 18:00, 2460320.250000000,  Saturn, 334.1576709, -1.6237654,
 2024-Jan-11 00:00, 2460320.500000000,  Saturn, 334.1823979, -1.6235372,
 2024-Jan-11 06:00, 2460320.750000000,  Saturn, 334.2071842, -1.6233108,
 2024-Jan-11 12:00, 2460321.000000000,  Saturn, 334.2320295, -1.6230863,
 2024-Jan-11 18:00, 2460321.250000000,  Saturn, 334.2569331, -1.6228637,
 2024-Jan-12 00:00, 2460321.500000000,  Saturn, 334.2818947, -1.6226429,
 2024-Jan-12 06:00, 2460321.750000000,  Saturn, 334.3069137, -1.6224241,
 2024-Jan-12 12:00, 2460322.000000000,  Saturn, 334.3319898, -1.6222071,
 2024-Jan-12 18:00, 2460322.250000000,  Saturn, 334.3571225, -1.6219921,
 2024-Jan-13 00:00, 2460322.500000000,  Saturn, 334.3823114, -1.6217790,
 2024-Jan-13 06:00, 2460322.750000000,  Saturn, 334.4075562, -1.6215678,
 2024-Jan-13 12:00, 2460323.000000000,  Saturn, 334.4328564, -1.6213586,
 2024-Jan-13 18:00, 2460323.250000000,  Saturn, 334.4582118, -1.6211512,
 2024-Jan-14 00:00, 2460323.500000000,  Saturn, 334.4836221, -1.6209459,
 2024-Jan-14 06:00, 2460323.750000000,  Saturn, 334.5090870, -1.6207425,
 2024-Jan-14 12:00, 2460324.000000000,  Saturn, 334.5346062, -1.6205410,
 2024-Jan-14 18:00, 2460324.250000000,  Saturn, 334.5601795, -1.6203416,
 2024-Jan-15 00:00, 2460324.500000000,  Saturn, 334.5858068, -1.6201441,
 2024-Jan-15 06:00, 2460324.750000000,  Saturn, 334.6114878, -1.6199487,
 2024-Jan-15 12:00, 2460325.000000000,  Saturn, 334.6372223, -1.6197553,
 2024-Jan-15 18:00, 2460325.250000000,  Saturn, 334.6630101, -1.6195639,
 2024-Jan-16 00:00, 2460325.500000000,  Saturn, 334.6888511, -1.6193746,
 2024-Jan-16 06:00, 2460325.750000000,  Saturn, 334.7147452, -1.6191873,
 2024-Jan-16 12:00, 2460326.000000000,  Saturn, 334.7406921, -1.6190021,
 2024-Jan-16 18:00, 2460326.250000000,  Saturn, 334.7666917, -1.6188190,
 2024-Jan-17 00:00, 2460326.500000000,  Saturn, 334.7927438, -1.6186380,
 2024-Jan-17 06:00, 2460326.750000000,  Saturn, 334.8188481, -1.6184591,
 2024-Jan-17 12:00, 2460327.000000000,  Saturn, 334.8450046, -1.6182823,
 2024-Jan-17 18:00, 2460327.250000000,  Saturn, 334.8712129, -1.6181076,
 2024-Jan-18 00:00, 2460327.500000000,  Saturn, 334.8974728, -1.6179350,
 2024-Jan-18 06:00, 2460327.750000000,  Saturn, 334.9237841, -1.6177646,
 2024-Jan-18 12:00, 2460328.000000000,  Saturn, 334.9501465, -1.6175963,
 2024-Jan-18 18:00, 2460328.250000000,  Saturn, 334.9765598, -1.6174302,
 2024-Jan-19 00:00, 2460328.500000000,  Saturn, 335.0030236, -1.6172662,
 2024-Jan-19 06:00, 2460328.750000000,  Saturn, 335.0295377, -1.6171043,
 2024-Jan-19 12:00, 2460329.000000000,  Saturn, 335.0561017, -1.6169447,
 2024-Jan-19 18:00, 2460329.250000000,  Saturn, 335.0827153, -1.6167871,
 2024-Jan-20 00:00, 2460329.500000000,  Saturn, 335.1093782, -1.6166318,
 2024-Jan-20 06:00, 2460329.750000000,  Saturn, 335.1360901, -1.6164787,
 2024-Jan-20 12:00, 2460330.000000000,  Saturn, 335.1628505, -1.6163277,
 2024-Jan-20 18:00, 2460330.250000000,  Saturn, 335.1896591, -1.6161789,
 2024-Jan-21 00:00, 2460330.500000000,  Saturn, 335.2165155, -1.6160323,
 2024-Jan-21 06:00, 2460330.750000000,  Saturn, 335.2434193, -1.6158879,
 2024-Jan-21 12:00, 2460331.000000000,  Saturn, 335.2703702, -1.6157456,
 2024-Jan-21 18:00, 2460331.250000000,  Saturn, 335.2973676, -1.6156055,
 2024-Jan-22 00:00, 2460331.500000000,  Saturn, 335.3244114, -1.6154677,
 2024-Jan-22 06:00, 2460331.750000000,  Saturn, 335.3515010, -1.6153320,
 2024-Jan-22 12:00, 2460332.000000000,  Saturn, 335.3786361, -1.6151985,
 2024-Jan-22 18:00, 2460332.250000000,  Saturn, 335.4058162, -1.6150672,
 2024-Jan-23 00:00, 2460332.500000000,  Saturn, 335.4330409, -1.6149380,
 2024-Jan-23 06:00, 2460332.750000000,  Saturn, 335.4603099, -1.6148111,
 2024-Jan-23 12:00, 2460333.000000000,  Saturn, 335.4876227, -1.6146863,
 2024-Jan-23 18:00, 2460333.250000000,  Saturn, 335.5149791, -1.6145636,
 2024-Jan-24 00:00, 2460333.500000000,  Saturn, 335.5423785, -1.6144432,
 2024-Jan-24 06:00, 2460333.750000000,  Saturn, 335.5698207, -1.6143249,
 2024-Jan-24 12:00, 2460334.000000000,  Saturn, 335.5973054, -1.6142088,
 2024-Jan-24 18:00, 2460334.250000000,  Saturn, 335.6248320, -1.6140948,
 2024-Jan-25 00:00, 2460334.500000000,  Saturn, 335.6524003, -1.6139830,
 2024-Jan-25 06:00, 2460334.750000000,  Saturn, 335.6800101, -1.6138734,
 2024-Jan-25 12:00, 2460335.000000000,  Saturn, 335.7076608, -1.6137660,
 2024-Jan-25 18:00, 2460335.250000000,  Saturn, 335.7353522, -1.6136608,
 2024-Jan-26 00:00, 2460335.500000000,  Saturn, 335.7630841, -1.6135577,
 2024-Jan-26 06:00, 2460335.750000000,  Saturn, 335.7908561, -1.6134567,
 2024-Jan-26 12:00, 2460336.000000000,  Saturn, 335.8186678, -1.6133580,
 2024-Jan-26 18:00, 2460336.250000000,  Saturn, 335.8465191, -1.6132614,
 2024-Jan-27 00:00, 2460336.500000000,  Saturn, 335.8744097, -1.6131669,
 2024-Jan-27 06:00, 2460336.750000000,  Saturn, 335.9023392, -1.6130746,
 2024-Jan-27 12:00, 2460337.000000000,  Saturn, 335.9303074, -1.6129845,
 2024-Jan-27 18:00, 2460337.250000000,  Saturn, 335.9583142, -1.6128965,
 2024-Jan-28 00:00, 2460337.500000000,  Saturn, 335.9863592, -1.6128107,
 2024-Jan-28 06:00, 2460337.750000000,  Saturn, 336.0144423, -1.6127271,
 2024-Jan-28 12:00, 2460338.000000000,  Saturn, 336.0425631, -1.6126456,
 2024-Jan-28 18:00, 2460338.250000000,  Saturn, 336.0707215, -1.6125663,
 2024-Jan-29 00:00, 2460338.500000000,  Saturn, 336.0989172, -1.6124892,
 2024-Jan-29 06:00, 2460338.750000000,  Saturn, 336.1271501, -1.6124143,
 2024-Jan-29 12:00, 2460339.000000000,  Saturn, 336.1554200, -1.6123415,
 2024-Jan-29 18:00, 2460339.250000000,  Saturn, 336.1837266, -1.6122709,
 2024-Jan-30 00:00, 2460339.500000000,  Saturn, 336.2120697, -1.6122026,
 2024-Jan-30 06:00, 2460339.750000000,  Saturn, 336.2404492, -1.6121364,
 2024-Jan-30 12:00, 2460340.000000000,  Saturn, 336.2688649, -1.6120724,
 2024-Jan-30 18:00, 2460340.250000000,  Saturn, 336.2973165, -1.6120107,
 2024-Jan-31 00:00, 2460340.500000000,  Saturn, 336.3258038, -1.6119512,
 2024-Jan-31 06:00, 2460340.750000000,  Saturn, 336.3543267, -1.6118939,
 2024-Jan-31 12:00, 2460341.000000000,  Saturn, 336.3828849, -1.6118388,
 2024-Jan-31 18:00, 2460341.250000000,  Saturn, 336.4114783, -1.6117860,
 2024-Feb-01 00:00, 2460341.500000000,  Saturn, 336.4401065, -1.6117354,
 2024-Feb-01 06:00, 2460341.750000000,  Saturn, 336.4687695, -1.6116870,
 2024-Feb-01 12:00, 2460342.000000000,  Saturn, 336.4974671, -1.6116409,
 2024-Feb-01 18:00, 2460342.250000000,  Saturn, 336.5261989, -1.6115970,
 2024-Feb-02 00:00, 2460342.500000000,  Saturn, 336.5549648, -1.6115553,
 2024-Feb-02 06:00, 2460342.750000000,  Saturn, 336.5837645, -1.6115160,
 2024-Feb-02 12:00, 2460343.000000000,  Saturn, 336.6125980, -1.6114789,
 2024-Feb-02 18:00, 2460343.250000000,  Saturn, 336.6414648, -1.6114440,
 2024-Feb-03 00:00, 2460343.500000000,  Saturn, 336.6703648, -1.6114115,
 2024-Feb-03 06:00, 2460343.750000000,  Saturn, 336.6992976, -1.6113812,
 2024-Feb-03 12:00, 2460344.000000000,  Saturn, 336.7282631, -1.6113532,
 2024-Feb-03 18:00, 2460344.250000000,  Saturn, 336.7572609, -1.6113275,
 2024-Feb-04 00:00, 2460344.500000000,  Saturn, 336.7862909, -1.6113040,
 2024-Feb-04 06:00, 2460344.750000000,  Saturn, 336.8153525, -1.6112828,
 2024-Feb-04 12:00, 2460345.000000000,  Saturn, 336.8444457, -1.6112639,
 2024-Feb-04 18:00, 2460345.250000000,  Saturn, 336.8735700, -1.6112473,
 2024-Feb-05 00:00, 2460345.500000000,  Saturn, 336.9027251, -1.6112330,
 2024-Feb-05 06:00, 2460345.750000000,  Saturn, 336.9319106, -1.6112209,
 2024-Feb-05 12:00, 2460346.000000000,  Saturn, 336.9611262, -1.6112111,
 2024-Feb-05 18:00, 2460346.250000000,  Saturn, 336.9903714, -1.6112035,
 2024-Feb-06 00:00, 2460346.500000000,  Saturn, 337.0196459, -1.6111982,
 2024-Feb-06 06:00, 2460346.750000000,  Saturn, 337.0489493, -1.6111952,
 2024-Feb-06 12:00, 2460347.000000000,  Saturn, 337.0782811, -1.6111944,
 2024-Feb-06 18:00, 2460347.250000000,  Saturn, 337.1076409, -1.6111959,
 2024-Feb-07 00:00, 2460347.500000000,  Saturn, 337.1370282, -1.6111997,
 2024-Feb-07 06:00, 2460347.750000000,  Saturn, 337.1664425, -1.6112057,
 2024-Feb-07 12:00, 2460348.000000000,  Saturn, 337.1958834, -1.6112140,
 2024-Feb-07 18:00, 2460348.250000000,  Saturn, 337.2253503, -1.6112245,
 2024-Feb-08 00:00, 2460348.500000000,  Saturn, 337.2548429, -1.6112373,
 2024-Feb-08 06:00, 2460348.750000000,  Saturn, 337.2843605, -1.6112523,
 2024-Feb-08 12:00, 2460349.000000000,  Saturn, 337.3139028, -1.6112696,
 2024-Feb-08 18:00, 2460349.250000000,  Saturn, 337.3434691, -1.6112891,
 2024-Feb-09 00:00, 2460349.500000000,  Saturn, 337.3730591, -1.6113109,
 2024-Feb-09 06:00, 2460349.750000000,  Saturn, 337.4026722, -1.6113349,
 2024-Feb-09 12:00, 2460350.000000000,  Saturn, 337.4323081, -1.6113612,
 2024-Feb-09 18:00, 2460350.250000000,  Saturn, 337.4619664, -1.6113897,
 2024-Feb-10 00:00, 2460350.500000000,  Saturn, 337.4916466, -1.6114204,
 2024-Feb-10 06:00, 2460350.750000000,  Saturn, 337.5213485, -1.6114534,
 2024-Feb-10 12:00, 2460351.000000000,  Saturn, 337.5510717, -1.6114887,
 2024-Feb-10 18:00, 2460351.250000000,  Saturn, 337.5808159, -1.6115261,
 2024-Feb-11 00:00, 2460351.500000000,  Saturn, 337.6105809, -1.6115659,
 2024-Feb-11 06:00, 2460351.750000000,  Saturn, 337.6403664, -1.6116078,
 2024-Feb-11 12:00, 2460352.000000000,  Saturn, 337.6701721, -1.6116520,
 2024-Feb-11 18:00, 2460352.250000000,  Saturn, 337.6999980, -1.6116985,
 2024-Feb-12 00:00, 2460352.500000000,  Saturn, 337.7298439, -1.6117472,
 2024-Feb-12 06:00, 2460352.750000000,  Saturn, 337.7597094, -1.6117982,
 2024-Feb-12 12:00, 2460353.000000000,  Saturn, 337.7895947, -1.6118515,
 2024-Feb-12 18:00, 2460353.250000000,  Saturn, 337.8194993, -1.6119071,
 2024-Feb-13 00:00, 2460353.500000000,  Saturn, 337.8494233, -1.6119649,
 2024-Feb-13 06:00, 2460353.750000000,  Saturn, 337.8793663, -1.6120250,
 2024-Feb-13 12:00, 2460354.000000000,  Saturn, 337.9093284, -1.6120874,
 2024-Feb-13 18:00, 2460354.250000000,  Saturn, 337.9393092, -1.6121521,
 2024-Feb-14 00:00, 2460354.500000000,  Saturn, 337.9693085, -1.6122191,
 2024-Feb-14 06:00, 2460354.750000000,  Saturn, 337.9993262, -1.6122885,
 2024-Feb-14 12:00, 2460355.000000000,  Saturn, 338.0293620, -1.6123601,
 2024-Feb-14 18:00, 2460355.250000000,  Saturn, 338.0594157, -1.6124340,
 2024-Feb-15 00:00, 2460355.500000000,  Saturn, 338.0894869, -1.6125103,
 2024-Feb-15 06:00, 2460355.750000000,  Saturn, 338.1195754, -1.6125889,
 2024-Feb-15 12:00, 2460356.000000000,  Saturn, 338.1496810, -1.6126699,
 2024-Feb-15 18:00, 2460356.250000000,  Saturn, 338.1798033, -1.6127532,
 2024-Feb-16 00:00, 2460356.500000000,  Saturn, 338.2099419, -1.6128389,
 2024-Feb-16 06:00, 2460356.750000000,  Saturn, 338.2400966, -1.6129270,
 2024-Feb-16 12:00, 2460357.000000000,  Saturn, 338.2702670, -1.6130175,
 2024-Feb-16 18:00, 2460357.250000000,  Saturn, 338.3004528, -1.6131103,
 2024-Feb-17 00:00, 2460357.500000000,  Saturn, 338.3306534, -1.6132056,
 2024-Feb-17 06:00, 2460357.750000000,  Saturn, 338.3608687, -1.6133032,
 2024-Feb-17 12:00, 2460358.000000000,  Saturn, 338.3910982, -1.6134033,
 2024-Feb-17 18:00, 2460358.250000000,  Saturn, 338.4213416, -1.6135058,
 2024-Feb-18 00:00, 2460358.500000000,  Saturn, 338.4515983, -1.6136108,
 2024-Feb-18 06:00, 2460358.750000000,  Saturn, 338.4818682, -1.6137182,
 2024-Feb-18 12:00, 2460359.000000000,  Saturn, 338.5121507, -1.6138280,
 2024-Feb-18 18:00, 2460359.250000000,  Saturn, 338.5424455, -1.6139402,
 2024-Feb-19 00:00, 2460359.500000000,  Saturn, 338.5727522, -1.6140549,
 2024-Feb-19 06:00, 2460359.750000000,  Saturn, 338.6030705, -1.6141721,
 2024-Feb-19 12:00, 2460360.000000000,  Saturn, 338.6333998, -1.6142916,
 2024-Feb-19 18:00, 2460360.250000000,  Saturn, 338.6637400, -1.6144137,
 2024-Feb-20 00:00, 2460360.500000000,  Saturn, 338.6940905, -1.6145382,
 2024-Feb-20 06:00, 2460360.750000000,  Saturn, 338.7244511, -1.6146651,
