 Date__(UT)__HR:MN, Date_________JDUT,     Sun,    ObsEcLon,   ObsEcLat,
 2024-Jan-01 00:00, 2460310.500000000,     Sun, 280.0389812,  0.0001723,
 2024-Jan-01 06:00, 2460310.750000000,     Sun, 280.2937289,  0.0001657,
 2024-Jan-01 12:00, 2460311.000000000,     Sun, 280.5484820,  0.0001588,
 2024-Jan-01 18:00, 2460311.250000000,     Sun, 280.8032405,  0.0001515,
 2024-Jan-02 00:00, 2460311.500000000,     Sun, 281.0580043,  0.0001440,
 2024-Jan-02 06:00, 2460311.750000000,     Sun, 281.3127735,  0.0001362,
 2024-Jan-02 12:00, 2460312.000000000,     Sun, 281.5675480,  0.0001281,
 2024-Jan-02 18:00, 2460312.250000000,     Sun, 281.8223279,  0.0001199,
 2024-Jan-03 00:00, 2460312.500000000,     Sun, 282.0771130,  0.0001114,
 2024-Jan-03 06:00, 2460312.750000000,     Sun, 282.3319034,  0.0001028,
 2024-Jan-03 12:00, 2460313.000000000,     Sun, 282.5866991,  0.0000940,
 2024-Jan-03 18:00, 2460313.250000000,     Sun, 282.8415000,  0.0000850,
 2024-Jan-04 00:00, 2460313.500000000,     Sun, 283.0963060,  0.0000760,
 2024-Jan-04 06:00, 2460313.750000000,     Sun, 283.3511171,  0.0000669,
 2024-Jan-04 12:00, 2460314.000000000,     Sun, 283.6059332,  0.0000577,
 2024-Jan-04 18:00, 2460314.250000000,     Sun, 283.8607543,  0.0000485,
 2024-Jan-05 00:00, 2460314.500000000,     Sun, 284.1155803,  0.0000393,
 2024-Jan-05 06:00, 2460314.750000000,     Sun, 284.3704110,  0.0000301,
 2024-Jan-05 12:00, 2460315.000000000,     Sun, 284.6252464,  0.0000210,
 2024-Jan-05 18:00, 2460315.250000000,     Sun, 284.8800864,  0.0000119,
 2024-Jan-06 00:00, 2460315.500000000,     Sun, 285.1349308,  0.0000030,
 2024-Jan-06 06:00, 2460315.750000000,     Sun, 285.3897794, -0.0000058,
 2024-Jan-06 12:00, 2460316.000000000,     Sun, 285.6446321, -0.0000145,
 2024-Jan-06 18:00, 2460316.250000000,     Sun, 285.8994887, -0.0000230,
 2024-Jan-07 00:00, 2460316.500000000,     Sun, 286.1543490, -0.0000313,
 2024-Jan-07 06:00, 2460316.750000000,     Sun, 286.4092128, -0.0000393,
 2024-Jan-07 12:00, 2460317.000000000,     Sun, 286.6640797, -0.0000470,
 2024-Jan-07 18:00, 2460317.250000000,     Sun, 286.9189496, -0.0000545,
 2024-Jan-08 00:00, 2460317.500000000,     Sun, 287.1738221, -0.0000616,
 2024-Jan-08 06:00, 2460317.750000000,     Sun, 287.4286968, -0.0000684,
 2024-Jan-08 12:00, 2460318.000000000,     Sun, 287.6835734, -0.0000748,
 2024-Jan-08 18:00, 2460318.250000000,     Sun, 287.9384514, -0.0000808,
 2024-Jan-09 00:00, 2460318.500000000,     Sun, 288.1933305, -0.0000864,
 2024-Jan-09 06:00, 2460318.750000000,     Sun, 288.4482102, -0.0000915,
 2024-Jan-09 12:00, 2460319.000000000,     Sun, 288.7030900, -0.0000962,
 2024-Jan-09 18:00, 2460319.250000000,     Sun, 288.9579693, -0.0001003,
 2024-Jan-10 00:00, 2460319.500000000,     Sun, 289.2128476, -0.0001040,
 2024-Jan-10 06:00, 2460319.750000000,     Sun, 289.4677242, -0.0001071,
 2024-Jan-10 12:00, 2460320.000000000,     Sun, 289.7225987, -0.0001097,
 2024-Jan-10 18:00, 2460320.250000000,     Sun, 289.9774703, -0.0001117,
 2024-Jan-11 00:00, 2460320.500000000,     Sun, 290.2323384, -0.0001132,
 2024-Jan-11 06:00, 2460320.750000000,     Sun, 290.4872023, -0.0001140,
 2024-Jan-11 12:00, 2460321.000000000,     Sun, 290.7420615, -0.0001143,
 2024-Jan-11 18:00, 2460321.250000000,     Sun, 290.9969151, -0.0001141,
 2024-Jan-12 00:00, 2460321.500000000,     Sun, 291.2517626, -0.0001132,
 2024-Jan-12 06:00, 2460321.750000000,     Sun, 291.5066034, -0.0001117,
 2024-Jan-12 12:00, 2460322.000000000,     Sun, 291.7614367, -0.0001097,
 2024-Jan-12 18:00, 2460322.250000000,     Sun, 292.0162619, -0.0001071,
 2024-Jan-13 00:00, 2460322.500000000,     Sun, 292.2710786, -0.0001040,
 2024-Jan-13 06:00, 2460322.750000000,     Sun, 292.5258861, -0.0001003,
 2024-Jan-13 12:00, 2460323.000000000,     Sun, 292.7806839, -0.0000960,
 2024-Jan-13 18:00, 2460323.250000000,     Sun, 293.0354716, -0.0000913,
 2024-Jan-14 00:00, 2460323.500000000,     Sun, 293.2902487, -0.0000860,
 2024-Jan-14 06:00, 2460323.750000000,     Sun, 293.5450147, -0.0000803,
 2024-Jan-14 12:00, 2460324.000000000,     Sun, 293.7997694, -0.0000741,
 2024-Jan-14 18:00, 2460324.250000000,     Sun, 294.0545124, -0.0000676,
 2024-Jan-15 00:00, 2460324.500000000,     Sun, 294.3092435, -0.0000606,
 2024-Jan-15 06:00, 2460324.750000000,     Sun, 294.5639622, -0.0000533,
 2024-Jan-15 12:00, 2460325.000000000,     Sun, 294.8186685, -0.0000456,
 2024-Jan-15 18:00, 2460325.250000000,     Sun, 295.0733622, -0.0000377,
 2024-Jan-16 00:00, 2460325.500000000,     Sun, 295.3280430, -0.0000295,
 2024-Jan-16 06:00, 2460325.750000000,     Sun, 295.5827108, -0.0000211,
 2024-Jan-16 12:00, 2460326.000000000,     Sun, 295.8373656, -0.0000124,
 2024-Jan-16 18:00, 2460326.250000000,     Sun, 296.0920070, -0.0000037,
 2024-Jan-17 00:00, 2460326.500000000,     Sun, 296.3466352,  0.0000052,
 2024-Jan-17 06:00, 2460326.750000000,     Sun, 296.6012499,  0.0000142,
 2024-Jan-17 12:00, 2460327.000000000,     Sun, 296.8558511,  0.0000232,
 2024-Jan-17 18:00, 2460327.250000000,     Sun, 297.1104388,  0.0000322,
