 Date__(UT)__HR:MN, Date_________JDUT,  Uranus,    ObsEcLon,   ObsEcLat,
 2024-Jan-01 00:00, 2460310.500000000,  Uranus,  49.3839042, -0.3061207,
 2024-Jan-01 06:00, 2460310.750000000,  Uranus,  49.3784531, -0.3060308,
 2024-Jan-01 12:00, 2460311.000000000,  Uranus,  49.3730477, -0.3059408,
 2024-Jan-01 18:00, 2460311.250000000,  Uranus,  49.3676884, -0.3058507,
 2024-Jan-02 00:00, 2460311.500000000,  Uranus,  49.3623754, -0.3057604,
 2024-Jan-02 06:00, 2460311.750000000,  Uranus,  49.3571089, -0.3056700,
 2024-Jan-02 12:00, 2460312.000000000,  Uranus,  49.3518891, -0.3055795,
 2024-Jan-02 18:00, 2460312.250000000,  Uranus,  49.3467162, -0.3054888,
 2024-Jan-03 00:00, 2460312.500000000,  Uranus,  49.3415906, -0.3053980,
 2024-Jan-03 06:00, 2460312.750000000,  Uranus,  49.3365123, -0.3053070,
 2024-Jan-03 12:00, 2460313.000000000,  Uranus,  49.3314816, -0.3052158,
 2024-Jan-03 18:00, 2460313.250000000,  Uranus,  49.3264988, -0.3051245,
 2024-Jan-04 00:00, 2460313.500000000,  Uranus,  49.3215639, -0.3050330,
 2024-Jan-04 06:00, 2460313.750000000,  Uranus,  49.3166774, -0.3049414,
 2024-Jan-04 12:00, 2460314.000000000,  Uranus,  49.3118393, -0.3048496,
 2024-Jan-04 18:00, 2460314.250000000,  Uranus,  49.3070499, -0.3047577,
 2024-Jan-05 00:00, 2460314.500000000,  Uranus,  49.3023095, -0.3046657,
 2024-Jan-05 06:00, 2460314.750000000,  Uranus,  49.2976182, -0.3045735,
 2024-Jan-05 12:00, 2460315.000000000,  Uranus,  49.2929764, -0.3044812,
 2024-Jan-05 18:00, 2460315.250000000,  Uranus,  49.2883841, -0.3043887,
 2024-Jan-06 00:00, 2460315.500000000,  Uranus,  49.2838417, -0.3042961,
 2024-Jan-06 06:00, 2460315.750000000,  Uranus,  49.2793492, -0.3042032,
 2024-Jan-06 12:00, 2460316.000000000,  Uranus,  49.2749069, -0.3041102,
 2024-Jan-06 18:00, 2460316.250000000,  Uranus,  49.2705150, -0.3040171,
 2024-Jan-07 00:00, 2460316.500000000,  Uranus,  49.2661736, -0.3039237,
 2024-Jan-07 06:00, 2460316.750000000,  Uranus,  49.2618828, -0.3038303,
 2024-Jan-07 12:00, 2460317.000000000,  Uranus,  49.2576429, -0.3037366,
 2024-Jan-07 18:00, 2460317.250000000,  Uranus,  49.2534540, -0.3036429,
 2024-Jan-08 00:00, 2460317.500000000,  Uranus,  49.2493162, -0.3035489,
 2024-Jan-08 06:00, 2460317.750000000,  Uranus,  49.2452297, -0.3034548,
 2024-Jan-08 12:00, 2460318.000000000,  Uranus,  49.2411944, -0.3033605,
 2024-Jan-08 18:00, 2460318.250000000,  Uranus,  49.2372106, -0.3032661,
 2024-Jan-09 00:00, 2460318.500000000,  Uranus,  49.2332781, -0.3031715,
 2024-Jan-09 06:00, 2460318.750000000,  Uranus,  49.2293971, -0.3030768,
 2024-Jan-09 12:00, 2460319.000000000,  Uranus,  49.2255677, -0.3029820,
 2024-Jan-09 18:00, 2460319.250000000,  Uranus,  49.2217897, -0.3028871,
 2024-Jan-10 00:00, 2460319.500000000,  Uranus,  49.2180633, -0.3027920,
 2024-Jan-10 06:00, 2460319.750000000,  Uranus,  49.2143885, -0.3026969,
 2024-Jan-10 12:00, 2460320.000000000,  Uranus,  49.2107651, -0.3026016,
 2024-Jan-10 18:00, 2460320.250000000,  Uranus,  49.2071932, -0.3025062,
 2024-Jan-11 00:00, 2460320.500000000,  Uranus,  49.2036728, -0.3024106,
 2024-Jan-11 06:00, 2460320.750000000,  Uranus,  49.2002036, -0.3023149,
 2024-Jan-11 12:00, 2460321.000000000,  Uranus,  49.1967857, -0.3022190,
